GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
address,cn.edu.xmu.address.model.po,RegionPoExample.GeneratedCriteria,751,0,10,0,190,0,98,0,93,0
address,cn.edu.xmu.address.model.po,RegionPoExample.Criteria,3,0,0,0,2,0,1,0,1,0
address,cn.edu.xmu.address.model.po,AddressPoExample,34,37,1,1,13,12,6,6,5,6
address,cn.edu.xmu.address.model.po,RegionPoExample,71,0,2,0,25,0,12,0,11,0
address,cn.edu.xmu.address.model.po,AddressPoExample.Criterion,53,36,1,1,19,13,8,6,7,6
address,cn.edu.xmu.address.model.po,RegionPoExample.Criterion,89,0,2,0,32,0,14,0,13,0
address,cn.edu.xmu.address.model.po,AddressPoExample.Criteria,0,3,0,0,0,2,0,1,0,1
address,cn.edu.xmu.address.model.po,AddressPoExample.GeneratedCriteria,925,46,8,2,234,12,120,6,115,6
address,cn.edu.xmu.address.model.po,RegionPo,2,55,1,1,0,22,1,15,0,15
address,cn.edu.xmu.address.model.po,AddressPo,6,75,3,3,0,28,3,19,0,19
address,cn.edu.xmu.address.model.bo,AddressPage,8,66,0,0,3,19,3,9,3,9
address,cn.edu.xmu.address.model.bo,Region,281,117,62,0,6,28,41,14,10,14
address,cn.edu.xmu.address.model.bo,Address,338,126,72,0,12,23,42,21,6,21
address,cn.edu.xmu.address.service,AddressService,0,39,0,0,0,9,0,6,0,6
address,cn.edu.xmu.address.service,RegionService,12,28,0,0,3,8,2,4,2,4
address,cn.edu.xmu.address.model.vo,AddressPageVo,0,35,0,0,0,10,0,1,0,1
address,cn.edu.xmu.address.model.vo,RegionVo,98,17,22,0,0,3,15,5,4,5
address,cn.edu.xmu.address.model.vo,RegionRetVo,343,0,62,0,17,0,50,0,19,0
address,cn.edu.xmu.address.model.vo,AddressVo,183,53,38,0,6,13,24,10,5,10
address,cn.edu.xmu.address.model.vo,AddressRetVo,311,59,64,0,1,18,44,9,12,9
address,cn.edu.xmu.address.controller,AddressController,72,181,9,5,17,47,8,10,1,10
address,cn.edu.xmu.address,AddressApplication,5,8,0,0,2,3,1,3,1,3
address,cn.edu.xmu.address.config,CorsConfig,0,51,0,0,0,7,0,2,0,2
address,cn.edu.xmu.address.config,Swagger2Configuration,0,56,0,0,0,18,0,3,0,3
address,cn.edu.xmu.address.config,RedisConfig,0,63,0,0,0,17,0,2,0,2
address,cn.edu.xmu.address.dao,AddressDao,287,261,4,12,44,67,4,11,0,7
address,cn.edu.xmu.address.dao,RegionDao,520,193,15,15,95,49,12,10,2,5
